French	3	26599942	2848
			4)	ndi	412	13519	3.6315274E-4
			5)	nd_	666	7983	2.1444251E-4
			6)	ndu	682	7683	2.0638379E-4
			7)	nds	1059	4117	1.1059249E-4
			8)	ndé	1126	3700	9.939087E-5
			9)	ndo	1575	1802	4.840604E-5
		8)	na	0	0	0.0
			1)	nat	352	16150	4.3382772E-4
			2)	nan	373	15314	4.1137074E-4
			3)	nal	392	14439	3.8786614E-4
			4)	nai	656	8129	2.1836442E-4
			5)	nau	678	7737	2.0783437E-4
			6)	na_	1398	2309	6.2025276E-5
			7)	nav	1556	1885	5.063562E-5
			8)	nac	1559	1852	4.974916E-5
			9)	naî	1660	1569	4.21471E-5
			10)	nag	1945	1007	2.7050433E-5
			11)	nab	1971	977	2.6244561E-5
			12)	nar	2072	808	2.1704816E-5
			13)	nad	2407	430	1.1550831E-5
			14)	nam	2420	420	1.1282206E-5
			15)	nap	2483	371	9.965949E-6
		9)	ni	0	0	0.0
			1)	nis	444	12629	3.3924522E-4
			2)	nio	448	12547	3.370425E-4
			3)	nir	477	11748	3.1557944E-4
			4)	niè	637	8285	2.2255495E-4
			5)	nit	644	8220	2.208089E-4
			6)	nie	773	6607	1.7747986E-4
			7)	niq	799	6179	1.6598275E-4
			8)	niv	946	5023	1.3492983E-4
			9)	nif	1120	3739	1.00438505E-4
			10)	nim	1127	3692	9.9175966E-5
			11)	ni_	1340	2553	6.85797E-5
			12)	nic	1378	2420	6.5007E-5
			13)	nib	2114	757	2.0334834E-5
			14)	nin	2387	447	1.2007491E-5
			15)	nia	2685	263	7.0648102E-6
			16)	nil	2801	219	5.882865E-6
		10)	né	0	0	0.0
			1)	née	496	11198	3.008051E-4
			2)	néc	802	6172	1.6579471E-4
			3)	né_	928	5174	1.3898604E-4
			4)	nér	969	4819	1.294499E-4
			5)	nég	1133	3669	9.8558136E-5
			6)	nés	1418	2226	5.9795697E-5
			7)	nét	1579	1794	4.819114E-5
			8)	néf	1608	1712	4.5988425E-5
			9)	néa	1875	1101	2.9575498E-5
			10)	ném	2491	366	9.831637E-6
			11)	név	2620	293	7.870683E-6
		11)	nv	0	0	0.0
			1)	nvi	571	9394	2.5234534E-4
			2)	nve	866	5592	1.5021452E-4
			3)	nvo	1797	1270	3.4115244E-5
			4)	nva	1871	1109	2.9790399E-5
		12)	nf	0	0	0.0
